model_name,feature_selection,generalization_test,best_model,random_state,max_depth,min_samples_split,subsample,n_estimators,max_features,learning_rate,micro_precision_Strategy,micro_recall_Strategy,micro_f1_Strategy,micro_f2_Strategy,subset_accuracy_Strategy,hamming_loss_Strategy,micro_precision_FEP,micro_recall_FEP,micro_f1_FEP,micro_f2_FEP,subset_accuracy_FEP,hamming_loss_FEP
XGBoost,all,False,Not applicable,33,,,0.8,100,,0.01,0.2342778574844572,0.3210884353741497,0.2708790143345117,0.29891807988138264,0.57421875,0.09194155092592593,0.246833640186317,0.5362318840579711,0.33795456907962507,0.4342366882134236,0.571501272264631,0.10340966921119593
XGBoost,all,True,Not applicable,33,,,0.8,100,,0.01,0.25945661276815046,0.40395480225988706,0.31567517338009354,0.36318076081007117,0.4949832775919732,0.11529171311780007,0.15577280316228487,0.2210526315789474,0.1826506404709276,0.20386172746326212,0.5150501672240803,0.1254180602006689
XGBoost,all,False,Not applicable,33,5,,0.8,5,sqrt,0.01,0.22804240210455218,0.22993197278911567,0.22882033409324753,0.22944541740206995,0.6046006944444445,0.08232060185185185,0.23305670273755377,0.5527950310559007,0.32771160250515413,0.4335225839798582,0.5251908396946564,0.11114503816793893
XGBoost,all,True,Not applicable,33,5,,0.8,5,sqrt,0.01,0.2837689739567406,0.2740112994350283,0.2784215680286776,0.27567523589539983,0.5546265328874024,0.09299516908212561,0.14119272444202122,0.19473684210526318,0.1631262342658463,0.18051426996467637,0.5267558528428093,0.1249721293199554
XGBoost,audio,False,Not applicable,33,,,0.8,100,,0.01,0.118571792927374,0.20408163265306123,0.14995992839795894,0.17831809550349464,0.49262152777777773,0.123046875,0.1182391585180878,0.45134575569358176,0.18735828569106974,0.28861622793717606,0.3536895674300254,0.19226463104325697
XGBoost,audio,True,Not applicable,33,,,0.8,100,,0.01,0.16447998936685718,0.26977401129943496,0.20406531386317164,0.2388449809563289,0.45317725752508364,0.13861018208844297,0.09509852522320777,0.29122807017543856,0.14328633258351595,0.20601105703032896,0.2670011148272018,0.22062430323299886
XGBoost,audio,False,Not applicable,33,5,,0.8,5,sqrt,0.01,0.13749989941985372,0.20816326530612247,0.16508792090441268,0.18827864141708836,0.53515625,0.11147280092592592,0.08789067983379657,0.24430641821946172,0.12847152054043132,0.17873443990203045,0.40865139949109414,0.16376590330788804
XGBoost,audio,True,Not applicable,33,5,,0.8,5,sqrt,0.01,0.22466788318806255,0.20197740112994353,0.21170091985056086,0.20558045923709914,0.5824972129319956,0.09624674842066146,0.08358844608309891,0.17192982456140352,0.11168297986839108,0.14092364502002475,0.38071348940914157,0.17591973244147155
XGBoost,visual,False,Not applicable,33,,,0.8,100,,0.01,0.17859216180051693,0.3414965986394558,0.23451469013712115,0.2887884709369321,0.49609375,0.11848958333333333,0.20594535649992998,0.6935817805383021,0.3175640433320785,0.4706327813453705,0.41017811704834606,0.1465648854961832
XGBoost,visual,True,Not applicable,33,,,0.8,100,,0.01,0.12801993899286832,0.2598870056497175,0.17148768403158873,0.21542718414649686,0.34280936454849503,0.16499442586399107,0.14766230679525197,0.3087719298245614,0.19975762599350746,0.25342946248265635,0.39910813823857305,0.15719063545150502
