model_name,feature_selection,generalization_test,Task,multiclass,Parameters,classifier,micro_precision,micro_recall,micro_f1,micro_f2,subset_accuracy,hamming_loss
XGBoost,multimodal,0,f,1,6,1,0.681715673518952,0.250517598343685,0.366077165205072,0.286702445512142,0.797964376590331,0.04264631043257
XGBoost,multimodal,1,f,1,6,1,0.046735502350346,0.010526315789474,0.017098168975833,0.012436218512999,0.727982162764771,0.07536231884058
XGBoost,audio_multi,0,s,1,5,1,0.064913977296759,0.035374149659864,0.045402828357488,0.038762707754002,0.615017361111111,0.079499421296296
XGBoost,audio_multi,1,s,1,5,1,0.156647105556557,0.055084745762712,0.081369023719708,0.063251482054835,0.611482720178372,0.08082497212932
XGBoost,audio_multi,0,f,1,6,1,0.228643171016052,0.115942028985507,0.150988396449762,0.127511028928564,0.720610687022901,0.062391857506361
XGBoost,audio_multi,1,f,1,6,1,0.115437004715484,0.054385964912281,0.073878293853986,0.060798157951312,0.667224080267559,0.08628762541806
XGBoost,correlations,0,s,1,5,1,0.28428711805718,0.174149659863946,0.214802716181918,0.18826126714584,0.66796875,0.067418981481482
XGBoost,correlations,1,s,1,5,1,0.321677559912854,0.084745762711864,0.13355341199975,0.09923553022643,0.62876254180602,0.071441843180974
XGBoost,correlations,0,f,1,6,1,0.290909090909091,0.126293995859213,0.175494230223435,0.142193707114482,0.740458015267176,0.058117048346056
XGBoost,correlations,1,f,1,6,1,0.089393939393939,0.02280701754386,0.036269550555265,0.026780718086459,0.717391304347826,0.075139353400223
XGBoost,hand_selected,0,s,1,5,1,0.19552309461013,0.062585034013605,0.093767521846547,0.072133392313427,0.687934027777778,0.065248842592593
XGBoost,hand_selected,1,s,1,5,1,0.157133646495349,0.053672316384181,0.075885138951433,0.060531610831543,0.596432552954292,0.086584912671869
XGBoost,hand_selected,0,f,1,6,1,0.367797702766057,0.178053830227743,0.239866822194124,0.198509928311313,0.752162849872774,0.055165394402036
XGBoost,hand_selected,1,f,1,6,1,0.130283816425121,0.036842105263158,0.057201473943374,0.042947016460783,0.70958751393534,0.076477146042363
RandomForest,all,0,s,1,7,1,0.495247734239638,0.137414965986395,0.214512051072025,0.16045741707968,0.733072916666667,0.053530092592593
RandomForest,all,1,s,1,7,1,0.466837878602585,0.057909604519774,0.101787369257249,0.069963653709576,0.658305462653289,0.06596060943887
RandomForest,audio,0,s,1,7,1,0.039047619047619,0.010884353741497,0.016906213704994,0.012689241118768,0.705295138888889,0.061848958333333
RandomForest,audio,1,s,1,7,1,0,0,0,0,0.637123745819398,0.070791527313267
RandomForest,visual,0,s,1,7,1,0.546754614145919,0.104761904761905,0.175752947574253,0.124947738087472,0.739149305555555,0.052372685185185
RandomForest,visual,1,s,1,7,1,0.374816392479436,0.049435028248588,0.087077482599871,0.059765865827909,0.649944258639911,0.067818654775177
RandomForest,multimodal,0,s,1,7,1,0.127247385407213,0.06530612244898,0.086210764221235,0.072310630852344,0.680121527777778,0.073278356481482
RandomForest,multimodal,1,s,1,7,1,0.348776223776224,0.035310734463277,0.064104991798938,0.043044194734224,0.644927536231884,0.067818654775177
RandomForest,audio_multi,0,s,1,7,1,0.279340721795965,0.069387755102041,0.110916036887269,0.081600786810078,0.715711805555555,0.05859375
RandomForest,audio_multi,1,s,1,7,1,0.692566692566693,0.053672316384181,0.099402676934926,0.065774593510725,0.663322185061315,0.063638052768488
RandomForest,correlations,0,s,1,7,1,0.440828924162258,0.097959183673469,0.156550054940434,0.115090622404106,0.724826388888889,0.054904513888889
RandomForest,correlations,1,s,1,7,1,0.472592592592593,0.055084745762712,0.098019092694549,0.066777149456274,0.657748049052397,0.065681902638424
RandomForest,hand_selected,0,s,1,7,1,0.323097827853665,0.073469387755102,0.118631362398209,0.086628315726407,0.720920138888889,0.057291666666667
RandomForest,hand_selected,1,s,1,7,1,0.2739651416122,0.036723163841808,0.064177152342418,0.044300648779287,0.647157190635452,0.068283166109253
RandomForest,all,0,f,1,7,1,0.333865897695685,0.099378881987578,0.152980363762297,0.115568838206379,0.758269720101781,0.053740458015267
RandomForest,all,1,f,1,7,1,0.047530288909599,0.008771929824561,0.014791570280074,0.010477079500175,0.72742474916388,0.07257525083612
RandomForest,audio,0,f,1,7,1,0.022080904433846,0.006211180124224,0.009656311543104,0.007243544371551,0.729262086513995,0.058931297709924
RandomForest,audio,1,f,1,7,1,0.106746031746032,0.010526315789474,0.019023211579241,0.012813351690933,0.738573021181717,0.07056856187291
RandomForest,visual,0,f,1,7,1,0.305126022603679,0.076604554865424,0.119226126180524,0.08932033627291,0.757760814249364,0.052315521628499
RandomForest,visual,1,f,1,7,1,0.183174455552972,0.026315789473684,0.045792575157444,0.0317061784326,0.741360089186176,0.069007803790413
RandomForest,multimodal,0,f,1,7,1,0.511508889618758,0.329192546583851,0.399843435191586,0.354136959054868,0.782188295165394,0.048346055979644
