model_name,feature_selection,generalization_test,best_model,random_state,max_depth,min_samples_split,subsample,n_estimators,max_features,learning_rate,micro_precision_Strategy,micro_recall_Strategy,micro_f1_Strategy,micro_f2_Strategy,subset_accuracy_Strategy,hamming_loss_Strategy,micro_precision_FEP,micro_recall_FEP,micro_f1_FEP,micro_f2_FEP,subset_accuracy_FEP,hamming_loss_FEP
XGBoost,all,False,Not applicable,33,5,,0.8,5,0.5,0.3,0.23626988150902295,0.12108843537414966,0.1591642238843832,0.1338139753646229,0.67578125,0.0669849537037037,0.25023404288942624,0.12836438923395446,0.16945009416195858,0.14212885598414696,0.7358778625954199,0.06127226463104326
XGBoost,all,True,Not applicable,33,5,,0.8,5,0.5,0.3,0.2962149867264767,0.10451977401129943,0.15407056850389497,0.11992445988676148,0.6248606465997771,0.07469342251950946,0.08678685149273384,0.022807017543859647,0.03588507008769553,0.026689624094013153,0.7112597547380156,0.07770345596432553
XGBoost,all,False,Not applicable,33,5,,0.8,5,,0.3,0.2548972524370025,0.17551020408163265,0.20701752811677435,0.1867540087626746,0.631076388888889,0.07146990740740743,0.18665181575017642,0.08074534161490683,0.11256739343672044,0.0910286058962484,0.7262086513994911,0.06229007633587786
XGBoost,all,True,Not applicable,33,5,,0.8,5,,0.3,0.3610071301247772,0.1115819209039548,0.16964901794846876,0.12924509700582335,0.6376811594202899,0.07079152731326645,0.056685906685906694,0.014035087719298246,0.022465577629044154,0.016512477800984117,0.7090301003344481,0.07792642140468227
XGBoost,audio,False,Not applicable,33,5,,0.8,5,0.5,0.3,0.05014570614570615,0.02312925170068027,0.031503403673215,0.025869527731031832,0.640625,0.07544849537037036,0.10269777521894412,0.04140786749482402,0.05891956760801814,0.04698797388034526,0.7048346055979643,0.06524173027989823
XGBoost,audio,True,Not applicable,33,5,,0.8,5,0.5,0.3,0.1425693636219952,0.04802259887005649,0.07032588538308372,0.05491559993929662,0.6008918617614271,0.08017465626161278,0.05347081361280145,0.021052631578947368,0.030121549641321282,0.02392882333593796,0.6950947603121516,0.08416945373467112
XGBoost,audio,False,Not applicable,33,5,,0.8,5,,0.3,0.07664115751459559,0.03809523809523809,0.05084804665956499,0.042338607915130215,0.626736111111111,0.07769097222222222,0.056126294932265085,0.02484472049689441,0.0343843677822006,0.027941598094803653,0.7083969465648855,0.06778625954198474
XGBoost,audio,True,Not applicable,33,5,,0.8,5,,0.3,0.22327816667439307,0.04378531073446328,0.07281041008417811,0.0520819872118865,0.633221850613155,0.07144184318097362,0.08006883443776648,0.03859649122807018,0.05121669976136759,0.04277348308191398,0.6984392419175028,0.07982162764771461
XGBoost,visual,False,Not applicable,33,5,,0.8,5,0.5,0.3,0.43409533935849726,0.1360544217687075,0.20550739543830854,0.15723529315396786,0.7196180555555555,0.055700231481481476,0.3400143899681365,0.11180124223602485,0.16725195094760312,0.12883199406785564,0.7470737913486006,0.05475826972010178
XGBoost,visual,True,Not applicable,33,5,,0.8,5,0.5,0.3,0.20506759781538186,0.062146892655367235,0.09480117199969101,0.07205337903255883,0.6204013377926422,0.07701597918989224,0.1649688737973967,0.02982456140350877,0.05044851948876716,0.03565329252334375,0.7318840579710143,0.07168338907469342
